UID,Comments,Order,Len,Spaces,Index
12529250,I always feel good to shoppe with Allen Solly... Staff are good to understand customer requirement and do their sometimes out of box support. As is it happened today.. Sanjay did.. I was looking for different piece and I told him to bring from other stores and he did. I would like to appreciate his commitment to customer's satisfaction.,10909,338,58,5.827586207
12723825,I already informed that I need a new types of casuals and formals and I have all the shirts and trousers what is last year shirt is still thee in the outlet so please change the designs and petterns its my humble request so please do this. I will be the first customer to feel very happy cheerssss,18483,297,57,5.210526316
12773668,Allen solly is usually my first choice for formal wear as it uses great fabric and is always top quality..but disappinted today as i didnt get a msg about my points expring on time and as a loyal customer thats the least i expect from such a big brand! Hope to return soon once the points get credited,20654,301,57,5.280701754
12784164,Since last one and half year my shopping is here only now I am checking fleet trousers for my father but didn't find in store any color in 36 size . I am really shameless with my father I promise to my father it is only availability in Allen solly  but it is really bad experience with as ,21107,289,57,5.070175439
12241502,"This store promises a delightful abundance of almost everything wanted by the trends flourishing in the market economy. The store is host to a quality environment, held true by the brand, furthermore, the staff is ubiquitous in their solemn and tread fast unnerving approach to silence and stillness in a most uncomfortable manner fast approaching repressive.",3102,359,55,6.527272727
12392130,"Your employees are very good.there was a problem in my trouser. They did mending the wrong way. They were quite supportive in replacing the trouser with a new one, even though they were not having in their store. They organised it from another store offered me to deliver the stuff at my house at alter date.",6779,308,55,5.6
12647089,The store did not have the stock of particular shirt which I was looking for. The staff offered to help me by checking with other stores but I could not take the offer as I did not have time.  Nevertheless your staff succeeded in making me a purchase of Rs.6497.00. It's always pleasure shopping at AS,15185,301,55,5.472727273
12154250,The chandeliers are too low. I'm six feet tall and I walked right into a sharp edge because of the low height and sustained injury to my head. This is sheer negligence and is dangerous. I pointed out to store manager immediately. He said it would be removed but I'm not sure that helps me!,683,289,54,5.351851852
12799287,"I came here to get the different fitting for my white shirt which I bought previous week. But Mr. Saurabh kumar said that the product which I brought to the store is washed so he will not replace it. My shirt is not washed....it was ironed, which I tell him but he doesn't got it. ",21742,281,54,5.203703704
12927250,"Simran, Simran, and Simran once again!!! She is the star of the show always. Time and again she is right on the money with her reasoned critique and apt rationale. There is always value for money with Simran on store!!! Hail the queen of retail purchase! I rate her 500/100 this time. I love Simran!!!",27682,301,54,5.574074074
12264143,Yeah. I've always liked Allen Solly. But I feel you've abandoned this branch. You need to significantly improve your stock over here. Great place. It does need your attention. But thank you I got what I was looking. That's why I love Allen Solly. Thank you. Hope you improve the next time I come,3609,295,53,5.566037736
12425581,It's better experience when I had visited your showroom.... Staffs were too much cooperative... And the products which they showed to me was the best quality and were very much afford to my requirements....I would to like to buy more products from you ..... And I m happy to be a customer of yours...,7890,300,53,5.660377358
12596224,It was very nice visiting your store and Mr Ankur kr Jha has been one of the best sales person I have ever seen in any of the stores of any brand. Really very nice experience and well maintained store. Will look forward to visit again or hope Mr Ankur and likes are there.,13246,272,53,5.132075472
12603816,"Nikita Singh has moved onto the very best manner inorder to help me out to select and choose the best fitting outfits for my mother which I didn't at all find in any other store,which I got here,you guys are lucky enough to have such a nice staff .keep it up and go going.......",13500,278,53,5.245283019
12125808,"The sms that you send is highly misleading. No discount. Was available except on some very small range of undersized merchandise. The staff is rigid and don't care a damn whether I stay or walk out. No apologies, no selling, no complaint book, no giving phone number of the store or regional manager. ",1002,301,52,5.788461538
12167587,Would appreciate larger and more apparels in aundh outlet like it is maintained in malls as I have more convinence to aundh store more than any other location it gives more comfortable shopping experience in aundh outlet as the store representatives are a. Delight and very helpful making shopping a experience to remember,1336,322,52,6.192307692
12164849,"It would be better if you make every size available. It's been third time I cam hear.where first I didn't found size, then I told them to bring. And second time again it was not there . Then I again gave my details and then this time I bought that blazer and trouser",1640,266,52,5.115384615
12187254,"double standards by ur co, planet fashion offering buy 3 get 3 and 40% discount in ur exclusive store in simla on all wimbledon collection whereas the store in saket select mall the same collection is in new arrivals, keep the same format in every store, not expected from brand like allen solly",2110,295,52,5.673076923
12469008,"Prices are going up year by year. You should consider to stabilize the range. It's not necessarily to increase the price every season . I am a platinum member of Allensolly from last 8 years, and observed that you are increasing prices of product regularly . Don't increase the price so frequently . ",9161,300,52,5.769230769
12559471,"Great staff,excellent customer service.saeed khan is an asset for you. He made my eve and shopping experience great.today me and my wife came to to kamala nagar store. He gave us an excellent shopping experience. Very knowledgeable and hospitable person. Great to shop with solly. Allen solly and saeed thank you for everything. ",11907,329,52,6.326923077
12428869,I purchased a linen shirt from ur store (4/3/2015) but after my 3rd washing its loom damaged under the shoulder itz just only used 3 times . So I have a humble request pls improve ur linen shirts loom's and stitching quality .. Hope u will do it as soon as possible..,7863,267,51,5.235294118
12567400,"It was nice to visit your store, however, unfortunately I could not utilize my credit points (500) as it was considered lapsed on to day. I would appreciate should you look into this matter and possibly revalidate the same. Any other discount offers to recognize your valued customer would be greatly appreciated. ",11660,314,51,6.156862745
12470246,"When a couple is visiting & buying merchandise from your store and offered only one coffee mug, it gives  displeasure for the reason who will use this - he or she??? Pl offer a set of coffee mug to a deserving couple like us. All the Best to Allen Solly ? ",9240,256,50,5.12
12557964,Staff did not tell about the offer or additional coupons available. There was an offer to get 1999 worth shirt free and we were not told in spite of purchasing more than 7000. The staff started making excuses. Terms and conditions not clear and were told as per the staffs convenience.,11857,285,50,5.7
12622367,Festival times need to have better discounts. Not every time all customers can make the bill of 7k. At least carry forward the bill amt for a period of one year. If customer comes back within 1year allow him to make purchases of remaining amt and allow to take benefit :-) ,14253,273,50,5.46
12889128,The staff took special care of my father. Warmly consulted him and helped him to get his first experience so good that he dragged me again for white shirt. Naved was his stylist made him comfortable all through out. Thanks for such a hospitality and excellent shopping experience. Will visit soon,26032,296,50,5.92
12125765,"It's very unfortunate that today I have purchased one fresh trouser worth Rs 3249 and I did not get any Allen soLli point on my card, as per sums received, as sale is going on now. Are you encouraging not to purchase any fresh item when sale is going on?",1152,254,49,5.183673469
12266806,The staff is very good and provided with all the information that I wanted  and helped me selecting the product what I was looking for...especially Subhrajeet behera who personally helped me in selecting the thing and some how I thought that he had a lot of potential for better post.,3664,284,49,5.795918367
12269879,"They do not know how to sell, a group of mindlessly trained fellows. Poor at servicing and understanding a client. They could have sold me 2 dresses but due to their inability to act and a dumb act, they could not. Feeling sorry for you. Bad day for your business. ",3741,265,49,5.408163265
12619451,"Illogical offers.i have 500points which I can avail,also we there's an offer that 750off if you purchase merchandise worth 3000. On buying stuff more than 3800 I am being forced to use only one offer,however one is a offer And other is a loyalty point. Please look into this asap",14136,279,49,5.693877551
12659344,"to be redressed!!!!!!! Pantaloons,City centre 2 , kolkata offered Rs500 off on purchase of Rs4000..... I purchased 2 trousers of 1999/- each summing a total of 3998/- for which I was refused with the offer and finally I had to drop the idea of purchasing from Allen solely........ Please redress......",15689,301,49,6.142857143
12742173,Today I have purchased of 28000 but still I am not satisfied with the variety of ranges due to staff service and there intimation I visit the store and make a purchased please improve your ranges in product or else you will be loosing every regular customer from this store. ,19291,275,49,5.612244898
12784701,Size 38 pleated trousers are not available from very long time in this store even after complaining in the store and shirts and trousers range has been increased and meager supply of good range  . Please see to it required customer range is available . Happy selling       Regards Ravi sankar,21141,292,49,5.959183673
12817992,The sms sent to me showed that I earned 500 points for bday month but store didn't reflect that.. Called call centre but no help.. Still the store keeper gave me 500 discount and understood the concern as it was mistake of Allan Solly. This should be avoided in future..,22548,270,49,5.510204082
12868208,"Well it was an amazing experience interacting with the staff members Mr. Kapil and Mr. Ankit, that made my overall shopping experience pretty satisfying. I went over the moon with such a blissful gesture and encourage them to entertain people with such gesture so that everyone can enjoy coming here.",24870,300,49,6.12244898
12923269,You are not giving much discount as your competitor is giving like lousi Philip and venhuesuen sorry for spelling mistake but that is the truth I'm telling you increase your discount rate call me any time after 6 pm....thank you my father is crazy about your Allen soly formal pants....,27611,286,49,5.836734694
12256864,Your display of 50% discount revealed that I need to buy three to get that discount which was not mentioned. This is a well designed cheating and misrepresentation of fact. You will do better business by being honest with your customer. I will not buy from your store again.,3148,274,48,5.708333333
12393330,The points accumulated are lapsed at shorter durations while I'm a regular customer holding my solly card. Still the points are being shown as nil. Moreover points earned during sale are not being added to total points. For better customer relationships we feel the accumulated points should never lapse.,6566,304,48,6.333333333
12468274,The staff service are very good. But sadly there is no much collection as against other super stores. The life style and shopper stop has more collections of allensolly than this exclusive show room . Please get more collection in this as we love to shop in this store,9160,268,48,5.583333333
12538074,"Great experience in Allen solly Rahul help me a lot he gave right sizes no suggestion what is looking Gud on me which is size is perfect , in between he done the trouser alteration till then I was browsing other stuff. Totally it was a loved been here.",11200,252,48,5.25
12579218,"Aman's service was very pleasant and helpful! She showed us through the store patiently and professionally, and we ended up buying more than we originally thought we would ?! Thank you Aman so much for a lovely shopping experience. The in-house tailoring service was also great and very quick.",12594,293,48,6.104166667
12752389,I just need trouser wearing with my blazer but the guy suggest me some matching shirt and compel me for trial after that suggest me jacket also and benefit about jacket. M very happy with service the guy is amazing keep it Uttam and good luck for your future ,19757,259,48,5.395833333
12923779,"Lack of consistency in variety and availability across Allen Solly stores. And size availability was pretty limited, which was a little turning off. Also, due to different stores for men and women, it restricts shopping experience.. Having said that, on the positive side, it was a good shopping experience. ",27591,308,48,6.416666667
12128014,"It is very strange to know that you don't have system of issuing credit notes for exchange of goods. Moreover for making this as complaint, one has to go through all of these feedback questions. You may accordingly introduce credit note system as well as simplified complaints/suggestions format.",911,296,47,6.29787234
12485073,I bought at t shirt from ur store . After one wash that t shirt colour feded . I used to buy allen solly wear but this t shirt really pees me off. Please replace it other wise I have to quite to buy ur product . Thanks ,9657,219,47,4.659574468
12542635,I just come to buy 1 shirt but I like the staff service of mr Rahul Kamble and he show me the colour combination and the new features of the dining and I like it. So now I he buy 6 garments of dem. Keep going Rahul ......,11338,221,47,4.70212766
12731207,"Came first time staff greeted me @ entrance ,very politely showed me casual shirts, he was very smart made me to buy with sling bag offered I was very happy with his excellent service. Will visit again &I will come & shop with azhar very nice guy.good service.",18799,260,47,5.531914894
12745059,I came to the store confused and Tabassum helped me to choose the fabulous dress I brought. She is very calm n professional n enthusiastic and very good in recommending options in style n cuts. I am really impressed with her friendly n professional nature. Pls promote her?,19417,273,47,5.808510638
12908166,Such great products but they all stop at size L and 34 waist. I am a size 16/18 and I'd love to be able to shop at your store. So few options in India for plus size western formals. Please think of ladies like me in the future. ,26844,228,47,4.85106383
12913049,"Now a days, u are not maintaining good quality. Most of the times Colors of fabric is fading within 6 to 9 months.  I have dozens of cloths of ur brand, but could not wear it because color is faded. Request to kindly do not compromise in quality.",27080,246,47,5.234042553
12144803,Put more collection so that customers will get easily attracted. Your collection is limited and there is shortage of staffs also. I want to add one more thing you should also keep more collection of size 46(XXL).   Hope that this suggestion would bring change in your shop. ,1401,274,46,5.956521739
12666116,"There is something like elastic attached to the waist of women formal pants in arrow and park avenue brand, Allen solly have a huge attractive range of formal pants but they don't have this type of thing so I expect Allen Solly should also have such product!",15965,258,46,5.608695652
12784302,Not delightful experience at all. We were not informed of the ongoing schemes running at the store. Being a frequent buyer I feel cheated and disappointed. I have already paid and now no one is paying heed to the fact that we were not informed about it. ,21118,254,46,5.52173913
12919279,"At 7 in the evening on christmas your staff is tooooo busy packing and folding clothes. Leave apart showing anything on their own, they are rude and not answering back properly. I was a big allen solly fan... M sure will not visit this store ever again.",27245,253,46,5.5
12353640,"Wimbledon as a tournament is known for its classic and minimal appeal, but your Wimbledon series t-shirts had designs which were crowded and busy. It should have had minimal and elegant designs. But i must say the jacket looked superb. Looking forward to next year collection.",3269,276,45,6.133333333
12369133,the variety show were good but the colors for the pants weren't that good hope there are more variety colors we will like to come again to shop with u . Great shop environment we would love it more only because of the colors ?? thanks,6470,234,45,5.2
12545460,I am regular user of Allen solly products and very much contended. The main factor for the purchase is product quality and people at Allen sorry. They are very much updated on the products and always attend the customer with high node ...... All the best!!!!!!,11459,260,45,5.777777778
12573246,I checked 3 Allen solly store to buy trouser for my husband. Unfortunately all 3 store do not have it. I understood trouser are not available in any store in baroda city. Look forward to see at least one store with trouser in my home city,12375,238,45,5.288888889
12631753,These boys really made me happy today I don't know why but I felt like I needed to buy more things especially tony Anil Binoy and ashiq and Suraj all of these really made me so so happy that I won't forget them they were hot,14502,224,45,4.977777778
12711211,I have around 1000 points which I wanted to redeem against purchase of hanky. I understood from your staff members that your policy doesn't allow that..... Sounds very funny.... It's my points that I have earned and should be able to redeem in whatever I purchase..... ,17882,269,45,5.977777778
12768439,"Amazing staff and they very well managed and fulfilled my requirement for the particular Tan shoe. They have arranged it from Saket store, which is highly appreciable.. That what customer service is all about .. Meeting customers requirement and they did it well.  M so happy",20418,275,45,6.111111111
12807112,"This is my second time at this store. It was awesome experience. I came here looking up a leather jacket. But unfortunately smallest size was big on me. One staff member here (Mamta), showed me denims after that and I ended up buying a jeans. :-)",22111,246,45,5.466666667
12888480,Aamir and Krishna did an excellent job in the entire process of shopping.with there assistance I started feeling that Allen solly is single point where I can get wide variety of options. I want to recommend Aamir and krishna to all my friends for there shopping.,25877,262,45,5.822222222
12395086,We weren't very keen to buy be coz the range wasn't interesting but we did buy quite a lot in the end owing to your attendant Geetangali.... We actually appreciate her hard work n the comfort n advice she extended to us....sowe bought so much. ,7239,244,44,5.545454545
12598376,Better service and i appreciate that.but a lot could be done with respect to the pricing motive how about selling merchandise at a reasonable set standard or so.it would be fruitful for the outlet/franchise in the long run.try building up on the price moves.good luck....!!!!,13299,275,44,6.25
12669565,"Offers given on mobiles are not cleared as I go SMS ""you are entitled to one time 30%off, this 30th Oct. on min buy of Rs. 3000"" but when I reached in show room i came to know that offer is on merchandise except winters",16141,219,44,4.977272727
12792890,It's a cool store and environment is great. ...... But the range of formal shirts you have is very poor.. I have been checking on your formal range for 2 months and didn't see any progress ... So try to get more formal collections .,21477,232,44,5.272727273
12109429,"This is my third visit within these days. It's a nice team you have. Well pleasant and they give me very good suggestions. Thank you all. Am glad to see you again. All the very best Vishnu , Junaid and Niyas. God bless you.",661,223,43,5.186046512
12433483,In men shirt category minimum size is 39. So 38is required. And clothing which is in fashion are very expensive than ones which are not. The gap is wide. Need to narrow it by reducing prices of in fashion clothes specially Blazers like category,8144,244,43,5.674418605
12926673,"I would like to have some more new design and lots of discount on every product because your stuff is worth buying but it's a little costly, not that I can't afford but sometime it feels that that much money is not worth it ",27722,224,43,5.209302326
12058697,I did not get the 40% discount as per the email. I value time & money got wasted because of this. I am really disgusted as I did not expect such a big brand to treat a loyal privileged customer in this way.,116,206,42,4.904761905
12068752,I read in the newspaper about flat 50 percent off in Lulu mall and even in fb but now I am not getting any offer. Your brand name is getting spoiled because of this. Plz look into this matter and find a solution ,201,212,42,5.047619048
12547976,"Simran, once again was the real superstar. For the second time running she stole the show with superb suggestions and apt rationale. She was a runaway success in customer management and dress selections. I wish she could be the head of this store!",11545,247,42,5.880952381
12578671,I am very much happy with my purchase done in last year and now looking for the similar kind of shirts which are with fresh & multi colors but now I am unable to find that kind of shirts. Thanks for taking feedback.,12562,215,42,5.119047619
12909660,You can arrange to provide the service of delivering the purchased clothes to the customers after alteration at extra service charges instead of asking them to wait for hours or requesting them to come next day .goodluck to u all Allen Solly personnel,26906,251,42,5.976190476
12916136,"I came to buy just 1blazer but the staff (merina) explain to me about the discount so I was convinced the way she explain to me due to that I ended up making a bill of 10k offer,keep the up the good work",27192,203,42,4.833333333
12051268,You should have more varieties in formal wear and designs in the same also u do not have a very good variety of casual also I every time purchase from here but this time I didn't get it so look for it ,21,201,41,4.902439024
12171260,Service today was good but please be prompt when u announce sale . Last time u said sale was on 2 July I came all the way just to hear that sale has been postponed to today. Very upset with tht part.,637,199,41,4.853658537
12212788,"well, i would suggest u to keep more and different varieties of casuals since nowdays all have just taken up the OLD fashion as their new choice..so if u could include more of the old models of tshirts ,it would be appreciated.",2660,227,41,5.536585366
12223893,Mr.Rahul Singh has given excellent service during visit to store. Only because of him I purchased two jackets instead of one. You have Rich staff like him. Keep it up and we are proud that (y)our company has this type of staff,2851,226,41,5.512195122
12246275,"I just walked in seeing the sale, thinking may buy a couple of things. The staff was very helpful - which technically led to my buying much more! However, happy about it, so great :-). Great designs too, so keep it up!",3129,218,41,5.317073171
12305811,With a kids floor dedicated to kids wear it is imperative to have separate kids trial room on the same floor. Just two trial rooms are definitely not sufficient.hope next time when we come something would have been done in this regard.,4769,235,41,5.731707317
12330422,Allen Solly is my favourite store. It always provides me with what I want. Specifically today they kept the store open after closing hours for me. It felt very nice. Overall its a great experience every time I visit the store :),5422,228,41,5.56097561
12424749,I used to like fitting of Allen solly pants. I was plannig to buy one today on my visit to India. However I was not able to find a single pant which fits me perfectly. Basically it was tight on my thighs.,7880,204,41,4.975609756
12537302,"I am looking blazer for my eight years old son unfortunately I don't get what  am looking for ,  am disappointed with this  ,  am happy with the fitting of allensolly so i hope to see blazer soon for boys kids too.",11197,214,41,5.219512195
12549364,"Looking for new designs, complete range in your shops are old design though quality may be good. Salman Khan had wore the shirt in big boss add - white back ground with blue horizontal lining. Zod and van Heusen are way ahead",11598,225,41,5.487804878
12632834,You have really convinced us and helped us a lot. The variety of clothes you have are very pretty. You have a very nice variety of dresses and I wish I could buy them all but I can't! ? Keep it going!,14631,200,41,4.87804878
12640772,The guidance provided for buying accessories by Mr piyush was very helpful for distinguishing my product which I needed which encourage to by my choice of product and other thing was the colour and cloth quality was superior than any other brand.,14937,246,41,6
12643903,"The staff was very helpful, I was looking for girls dress but firstly he told we have stopped now but we have same Allen solly brand for kids in elements mall, he suggested to go there had good customer service by staff ",15058,220,41,5.365853659
12698235,"Very good environment ,staff service too good i was looking a top but didn't find size but store manager arrange that for me from Some others store I'm very to see this kind of service.....good keep it up .....I visit again definitely ",17363,235,41,5.731707317
12777546,Please manufacture trenim fit trouser with metal triangle logo at the right back which is very less in stocks and not available in Allen solely stores. We are looking for this product eagerly in different shades. For e.g product code is ALTF515J0821,20851,249,41,6.073170732
12810645,Last time we bought a gents trouser and the colour was faded in many places.  It happened for the first time and the store took back the trouser and exchanged it.  Please see to this and see the quality of the fabric,22234,216,41,5.268292683
12877924,"The staff service was indeed excellent. Merchandise is also very good. Umesh has supported my purchase in an excellent way. In spite of coming after five months, he recollected instantly. I appreciate his interest in his work and support to the customer.",25352,254,41,6.195121951
12073684,Your staff is very supporting and specially Mr.kuldeep Chauhan has really impressed me a lot.he has the in depth knowledge of the product and quality and due to his keen efforts only now I am a regular customer of Allen solly.,280,226,40,5.65
12073721,Your staff is very supporting and specially Mr.kuldeep Chauhan has really impressed me a lot.he has the in depth knowledge of the product and quality and due to his keen efforts only now I am a regular customer of Allen solly.,281,226,40,5.65
12083900,"If there is a slight or a marginal difference between the the price on which any particular offer is valid, says diff of rs100 or Rs200, either that difference should'nt matter or should be allowed to be covered by any accessory.",407,229,40,5.725
12130361,The animal symbols are in shirts which make me mostly all Muslim not able wear during the namaz...required your logs in letters or any non livings arts...this feedback you may not receiving from other my friend look at this thanks &Regards,1210,239,40,5.975
12277148,"Really disappointed with your loyalty process, if I'm not using the previous number, then why can't I redeem my points, what a bullshit process, I will not leave the store if this mistakes repeat again, I feel to fire u people????????",3880,234,40,5.85
12368305,U shud change the color of trial room ....pink absorbs and it doesn't reflect the dress color properly eventually this will hit ur sales .. Keep it white .. The color reflects ... Ppl see themself as radiant the clothes are,6415,223,40,5.575
12431950,"I wish I would have more option of colours to buy allensolley AIR , Basically I found it too comfortable to wear and with the global warming at its new level. These are the type of trousers which is best suited.",8075,211,40,5.275
12440558,I had been always checking for regular fit trousers but not getting it from this group. I had to wait and get such fits. It would be great if Allen Solly could continue supplying regular fit trousers in all possible colurs,8378,222,40,5.55
12604709,I would love to have a bit moe casual type of trousers...the precise type of trousers I was looking was I couldn't find it...nyway I was obliged to come here as the service was too good...I liked it...keep it up :),13530,214,40,5.35
12767603,Pls focus and place the standard sizes like 44 in shirts and xl in tees also get regular outfits for trousers other than slim fits.Because I have been told ppl take bulk so the required size is not available all time!!,20383,218,40,5.45
12810021,"I came to buy one jacket but the staff make me to buy one more bag by telling me about the promotion,the way she explained about the product and the offer was really good so I was convinced to buy more",22212,201,40,5.025
12918300,My daughter bought skirts which fitted her very well and we wanted discount on them as well which we did not get. But got on other too products. Otherwise we really appreciate the suggestions given by Ms.Shashi. She was very knowledgable ,27305,238,40,5.95
12981574,"In last two weeks have done shopping of approx 40000 INR , really like the stuff  and discount scheme and highly appreciate the work of Mr Rajendra who gives his full support and push customers to buy more, will come again",28249,222,40,5.55
12173251,"Give the impotence to your csa ....because you doesn't have a relationship with your customer ,,,,your csa help us to know more about your products ,I appreciate you csa Khan hasimuddain ,,he is good to probe or speak with me",1790,225,39,5.769230769
12189124,U have an incredible collection just keep it going on like this only .......... I just Love to visit ur place ..!!!! I request u to get footwear in a bit bigger size ...............otherwise u people r just great ......,1905,219,39,5.615384615
12411711,Just because of polyester lining in girl's dress we did not buy it. We will appreciate if cotton lining can be provided on the inner side as the dress is meant for summers and cannot be worn with synthetic inners,7559,212,39,5.435897436
12497162,Only problem is - I bought a coat suit n got skirt alter. After altering that's skirt's zip got defect n I m being told master can't alter it. I m taking skirt along to get it altered from outside.,10060,197,39,5.051282051
12594632,I love the dear customers and good product are available more than other . All the office purpose garments and winter wear clothes affordable price...Thank you and I suggesting to all guys please purchase the delightful ana extraordinary clothes here......  ,13179,258,39,6.615384615
12641892,"You have a great team of sales personnel. I just entrees the store to have a look at the offerings and ended up buying goods worth 7k all thanks to the team of Krishna, noor and Sonam!!! Keep it up! ",14982,199,39,5.102564103
